STAGE,VERSION,MATERIAL,ORDER TYPE,MATERIAL DESCR.,PRO QUANITY,ORDER VALUE,COMPONENT,COMPONENT DESCR.,COST CENTER,MOVEMENT TYPE,COMPONENT QTY.,COMPONENT VALUE,REMARK
BPBMZ0000250KG,1,BPBMZ0000250KG,ZPKL,Bromobenzene 250 Kg Drums,"88,000.000",0.00,BPBMZ000000001,Bromobenzene,BROM069L,,"88,000.000",0,
,,BPBMZ0000250KG,ZPKL,,,,,,,,"88,000.000",0,
,,BPBMZ0000250KG,,,,,,,,,"88,000.000",0,
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000","25,11,24,000.00",00700005,ACETIC ACID,ACTPE079L,,"11,490.000","11,06,501.48",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700070,BUTYL CELLOSOLVE,ACTPE079L,,"2,46,207.000","4,82,26,441.16",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700200,DICHLOROETHANE -DCE,ACTPE079L,,"44,742.000","28,13,567.56",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700450,MCA,ACTPE079L,,"2,14,550.000","2,47,68,709.28",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700496,NA - TCPOL,ACTPE079L,,"2,62,084.000","11,04,56,455.47",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700572,PTSA,ACTPE079L,,"5,050.000","4,00,441.37",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700730,SODA ASH,ACTPE079L,,"18,450.000","6,17,636.69",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700735,SODIUM BICARBONATE - GRADE A-,ACTPE079L,,"64,800.000","18,84,668.85",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700765,SODIUM SULPHITE,ACTPE079L,,"9,275.000","2,98,384.23",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700816,TETRA BUTYL AMMONIUM,ACTPE079L,,"16,950.000","83,70,272.11",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00705100,CHLORINE,ACTPE079L,,"32,200.000","2,22,047.24",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00750085,CAUSTIC SODA LYE,ACTPE079L,,"11,955.000","7,55,966.2",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00750500,HEXANE,ACTPE079L,,"1,10,394.000","56,45,543.67",
