MATERIAL DESCR.,,,COMPONENT,COMPONENT DESCR.,,,,
NaTCPOL,,,700147,CUPROUS CHLORIDE,,,,
NaTCPOL,,,700200,DICHLOROETHANE -DCE,,,,
NaTCPOL,,,700315,HYFLO SUPER CEL,,,,
NaTCPOL,,,700602,4 - METHOXY PHENOL MONO METHYL ETHER OF,,,,
NaTCPOL,,,700625,PYRIDINE,,,,
NaTCPOL,,,700802,,,,,
NaTCPOL,,,705100,CHLORINE,,,,
NaTCPOL,,,730250,NONYL PHENOL ETHYLEN,,,,
NaTCPOL,,,750018,ACRYLONITRILE,,,,
NaTCPOL,,,750085,CAUSTIC SODA LYE,,,,
NaTCPOL,,,750309,HCl - GRADE-C,,,,
NaTCPOL,,,750770,SOLVENT C-9,,,,
NaTCPOL,,,750790,SULPHURIC ACID,,,,
NaTCPOL,,,EFNATCPOL00001,Ejector Solution (Hydraulic Load),,,,
NaTCPOL,,,EFNATCPOL00004,Scrubber solution (Hydraulic Load).,,,,
NaTCPOL,,,EFNATCPOL00007,Emergency Scrubber solution (Hydraulic L,,,,
NaTCPOL,,,EFNATCPOL00010,NaTCPOL Filtrate (Hydraulic Load).,,,,
,,,,,,,,
,,,,,,,,
Chloropyriphos 94,,,700007,4DAP,,,,
Chloropyriphos 94,,,700052,BENZYL CHLORIDE,,,,
Chloropyriphos 94,,,700184,O;O-DIETHYLPHOSPHORO CHLORIDOTHIOATE - D,,,,
Chloropyriphos 94,,,700200,DICHLOROETHANE -DCE,,,,
Chloropyriphos 94,,,700633,TETRA CHLORO PYRIDINE,,,,
Chloropyriphos 94,,,700730,SODA ASH,,,,
Chloropyriphos 94,,,700764,SODIUM SULPHIDE,,,,
Chloropyriphos 94,,,700825,TOLUENE,,,,
Chloropyriphos 94,,,700830,TRI ETHYL AMINE -GRADE A-,,,,
Chloropyriphos 94,,,750085,CAUSTIC SODA LYE,,,,
Chloropyriphos 94,,,EFCPF000000001,Condensation Main A/L (Hydraulic Load).,,,,
Chloropyriphos 94,,,EFCPF000000004,Condensation 1st water wash (Hydraulic L,,,,
Chloropyriphos 94,,,EFCPF000000007,Condensation 2nd water wash (Hydraulic L,,,,
Chloropyriphos 94,,,IMNATCPOL00001,NaTCPOL,,,,
Chloropyriphos 94,,,PMMDRM0031,DRUM MS LACQ POLYCOTE8 200 LTR SATINBLUE,,,,
,,,,,,,,
,,,,,,,,
Chloropyriphos 98,,,700475,METHANOL,,,,
Chloropyriphos 98,,,BPNATCPOL00001,UNREACTED  NATCPOL,,,,
Chloropyriphos 98,,,FGCPF000000001,Chloropyriphos 94,,,,
Chloropyriphos 98,,,PMMDRM0031,DRUM MS LACQ POLYCOTE8 200 LTR SATINBLUE,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos Tech 94% 283.5 Kg MS LQ drm,,,FGCPF000000001,Chloropyriphos 94,,,,
Chlorpyrifos Tech 94% 283.5 Kg MS LQ drm,,,PMMDRM0031,DRUM MS LACQ POLYCOTE8 200 LTR SATINBLUE,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos Tech 98% 283.5 Kg comp drum,,,FGCPF000000002,Chloropyriphos 98,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,,,FGCPF000000002,Chloropyriphos 98,,,,
Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,,,PMMDRM0031,DRUM MS LACQ POLYCOTE8 200 LTR SATINBLUE,,,,
,,,,,,,,
,,,,,,,,
Dicamba Technical,,,750085,CAUSTIC SODA LYE,,,,
Dicamba Technical,,,750309,HCl - GRADE-C,,,,
Dicamba Technical,,,750560,O. XYLENE,,,,
Dicamba Technical,,,750790,SULPHURIC ACID,,,,
Dicamba Technical,,,BPDCP000000001,Dichlorophenol Coupling Product,,,,
Dicamba Technical,,,BPKCL0000000GB,Potassium Chloride        ( Low Purity),,,,
Dicamba Technical,,,BPSPENTSACID01,Spent Sulphuic Acid 70 %,,,,
Dicamba Technical,,,EFDMB000000001,Dicamba Aqu Layer ( Hydro),,,,
Dicamba Technical,,,EFDMB000000004,A/L after MeOH rec ( Hydro),,,,
Dicamba Technical,,,EFSPHCLMCL0001,Spent HCl,,,,
Dicamba Technical,,,IMMEES00000004,Methyl Ester.,,,,
Dicamba Technical,,,RESDMB00000001,DMB Methyl Ester Residue,,,,
Dicamba Technical,,,RESXYL00000001,Residue of Xylene distillation,,,,
,,,,,,,,
Dicamba Technical,,,750085,CAUSTIC SODA LYE,,,,
Dicamba Technical,,,750560,O. XYLENE,,,,
Dicamba Technical,,,750790,SULPHURIC ACID,,,,
Dicamba Technical,,,BPDCP000000001,Dichlorophenol Coupling Product,,,,
Dicamba Technical,,,BPKCL0000000GB,Potassium Chloride        ( Low Purity),,,,
Dicamba Technical,,,BPSPENTSACID01,Spent Sulphuic Acid 70 %,,,,
Dicamba Technical,,,EFDMB000000001,Dicamba Aqu Layer ( Hydro),,,,
Dicamba Technical,,,EFDMB000000004,A/L after MeOH rec ( Hydro),,,,
Dicamba Technical,,,IMMEES00000004,Methyl Ester.,,,,
Dicamba Technical,,,RESDMB00000001,DMB Methyl Ester Residue,,,,
Dicamba Technical,,,RESXYL00000001,Residue of Xylene distillation,,,,
,,,,,,,,
,,,,,,,,
Dicamba Tech 22.68 Kgs Bag,,,FGDMB000000001,Dicamba Technical,,,,
Dicamba Tech 22.68 Kgs Bag,,,PMPBAG0002,BAG MULTIWALL PAPERSACK DICAMBA 50 lbs,,,,
,,,,,,,,
,,,,,,,,
DICAMBA TECHNICAL PACKED IN 800 KGS. BAG,,,FGDMB000000001,Dicamba Technical,,,,
DICAMBA TECHNICAL PACKED IN 800 KGS. BAG,,,PMJBAG0017,JUMBO BAG WITH ALU LINER (GREIF SPEC),,,,
,,,,,,,,
,,,,,,,,
DCP- Dichloro phenol,,,700200,DICHLOROETHANE -DCE,,,,
DCP- Dichloro phenol,,,700591,2;5 DICHLORO ANILINE,,,,
DCP- Dichloro phenol,,,700730,SODA ASH,,,,
DCP- Dichloro phenol,,,700772,SULFAMIC DESCALENT,,,,
DCP- Dichloro phenol,,,705800,SULPHUR DI-OXIDE,,,,
DCP- Dichloro phenol,,,750085,CAUSTIC SODA LYE,,,,
DCP- Dichloro phenol,,,750185,DILUTE NITRIC ACID - GRADE A -,,,,
